"id","sns_user_id","item_id","count","use_count","updated_at","created_at"
"83249","15111","2028","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83251","15111","2030","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83254","15111","2033","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83257","15111","2036","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83260","15111","3000","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83261","15111","3001","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83263","15111","3003","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83264","15111","3004","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83269","15111","3009","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
"83270","15111","3010","500","500","2010-07-27 16:13:20.0","2010-07-27 16:13:20.0"
